	amp_norm
0	0.12241187220158142
6	0.06882135681000687
7	0.06482365854100464
8	0.07269125380833952
12	0.059313808981695755
13	0.04097698068632531
14	0.0428327359145903
16	0.046998089319658876
18	0.032395403925010745
19	0.034441060739254646
20	0.04430050421202049
22	0.038325733625157954
23	0.02832419614556025
26	0.03133068766277842
28	0.026824342663492717
29	0.040798376616678
30	0.03628179064786977
32	0.03141059474831236
34	0.027283251260537576
37	0.03936696285399078
38	0.0448491457232087
39	0.029715105401325083
40	0.03468831548632168
46	0.03497317576193272
47	0.050416706694768526
48	0.043339392423162856
49	0.06205926754993897
51	0.046121848111709406
53	0.06617340965202291
55	0.08554311683900725
56	0.07521678808260114
57	0.14045527483717146
59	0.16833800872099064
60	0.38925376511254833
61	0.230128751154751
65	0.879468430147173
66	0.9310428816100131
67	0.9288923879821059
68	0.9189331067284465
69	0.2260600113235543
70	0.2648364602132404
71	0.17922074696698317
