	amp_norm
0	0.010273921501125593
1	0.010817782369951812
2	0.011606048876057078
3	0.012507863091185411
4	0.013352162360545206
5	0.014497279424920335
6	0.015804998578486225
7	0.01734687277260678
8	0.019324219193802863
9	0.021469584016714227
10	0.02453531932613374
11	0.028716378968713242
12	0.034062711025022986
13	0.04193275299219322
14	0.05535218517140945
15	0.07993872780822121
16	0.14243008109105174
17	0.4697969249602877
18	0.7521166179012627
19	0.2011111505980439
20	0.09669945722884066
21	0.0630600472621166
22	0.046350666184671555
23	0.0366985829932089
24	0.03060063701346354
25	0.02593948609144
26	0.022710397259550468
27	0.020296349755785287
28	0.01808119004644956
29	0.0163657405874904
30	0.015016067692066993
31	0.013789905165064138
32	0.012925334808915822
33	0.0120413308247743
34	0.011101979046537506
35	0.010548081279402387
36	0.010083397257479082
37	0.010301704832545135
38	0.010879230880107529
39	0.0116664258797332
40	0.012427926212233646
41	0.013145218906643552
42	0.014123929550961716
43	0.015397318875336982
44	0.01668597365311503
45	0.0181977267668766
46	0.020188629619239586
47	0.022618861147415667
48	0.02562664511951907
49	0.029371215439386165
50	0.03469208227346156
51	0.04276537279535715
52	0.05454013999768163
53	0.07600339131094605
54	0.12397373558010392
55	0.30150345006964313
56	0.7438028752064525
57	0.30063153034123413
58	0.12396907722629684
59	0.07563432960289256
60	0.054145485034789546
61	0.04252644660159481
62	0.03477574449068556
63	0.029409699264874814
64	0.025536398924915382
65	0.02273989883729518
66	0.02031148139999202
67	0.01821575770295152
68	0.01665332389099207
69	0.015459184461773606
70	0.014264409555782592
71	0.013193022287110358
72	0.012418973135756557
73	0.011654220766500493
74	0.010999896294343949
75	0.010371707239769658
76	0.010157386354899118
77	0.010911785998489557
78	0.01159348760153984
79	0.012440567228717146
80	0.013449136125337666
81	0.014773975236586023
82	0.016380948297844592
83	0.018008192502981746
84	0.019889389879123115
85	0.023017241130891004
86	0.027165385962406627
87	0.03195176377605587
88	0.03928523244424836
89	0.052643546190537883
90	0.0775220180006985
91	0.14125853688279286
92	0.49638186470666956
93	0.629843188771432
94	0.1699046583712839
95	0.08530010948631661
96	0.05564568115130497
97	0.041434010583517936
98	0.033496926158259416
99	0.027601584000279226
100	0.023534424183991792
101	0.020648402174237173
102	0.01820665209220341
103	0.016491654064577987
104	0.015016054469626098
105	0.013814391604933265
106	0.012740357053302467
107	0.011686677475143561
108	0.011014038392368027
109	0.010373424442091241
