	fs3
0	2.287126941702411e-05
6	0.056259622256725095
7	0.05762618497569072
8	0.05835259114800628
12	0.12715796143400837
13	0.13240455885819102
14	0.14983568165307837
16	0.16799456136415536
18	0.20987023949274608
19	0.24383761666108406
20	0.2573792800024428
22	0.2798669717586275
23	0.2886768796302821
26	0.3394163583208343
28	0.3687705713510798
29	0.3902016556972665
30	0.39390243743177855
32	0.43654495267247384
34	0.45005023730567295
37	0.5101481278133626
38	0.5258070277475255
39	0.5324619695743387
40	0.5353716464952267
46	0.6161337994664109
47	0.6284962270639429
48	0.6359705631787058
49	0.6642493040729338
51	0.7012409277209706
53	0.7382069329236138
55	0.748663718605
56	0.7876553230286873
57	0.8045379266486794
59	0.8411777980746749
60	0.8668972635261802
61	0.8739753794768994
65	0.9010344536875099
66	0.9010533184135294
67	0.9037177234373495
68	0.9149656139323596
69	0.952261805143273
70	0.955291424139654
71	0.9679840529748684
