	amp_norm
2	0.12965106602201698
4	0.1401046673824176
10	0.1529086234563186
11	0.1749787283756316
15	0.12043494158068052
17	0.145764179068643
21	0.19938528952736398
24	0.15494152661325478
25	0.2661666387091064
27	0.22386568733093307
31	0.2668278631467538
33	0.42458444305796966
35	0.5164255931175264
36	0.6737996984527487
41	0.5872053510597719
42	0.7219673382660922
43	0.6299386609611453
44	0.5450189747250124
45	0.5239446429700145
50	0.3185573086569847
52	0.2718315913225089
54	0.24222887366822682
58	0.22749955170797725
62	0.15717700015590735
63	0.18526587353047202
64	0.1708033025617276
