	amp_norm
1606	0.015197602510405738
1617	0.026914584505530446
1618	0.04309544297279227
1619	0.09011644078120065
1633	0.9165425153705374
1634	0.9633509834578712
1635	0.9642991470389011
1636	0.939942118511121
1646	0.07374380891658586
1651	0.13544680485317584
1652	0.04549866912242372
1663	0.022483049994593815
1664	0.010493766050918939
1944	0.01596370239032536
1945	0.9943180456504122
1946	0.9941984708391973
1983	0.028746058299619043
1984	0.013868170913502927
1991	0.2972007417317674
1992	0.010533639957904392
1993	0.0973577750228592
1999	0.9945919715800375
2000	0.9972548223868538
2001	0.05635617662956015
2002	0.3286454452886189
2008	0.011619059775738311
2009	0.018933348456580026
2010	0.013592828199979408
3359	0.03509345688731328
3364	0.5409035992557406
3366	0.043148983858567795
3367	0.5409104748794622
3368	0.16998561674150708
3374	0.024855374611654192
