	fs3
0	0.0048912127303086805
1	0.0052275145624118835
3	0.016714870984730013
9	0.07192623030677225
10	0.07411159075800633
11	0.0797184060562035
15	0.10469489081377148
17	0.12765025061565716
21	0.14414553948221176
23	0.1648201298719325
26	0.18384235269513738
29	0.2056779604175336
31	0.21500420370699125
35	0.24075886703863247
37	0.2508357276207285
39	0.2866652938242158
43	0.29855582090300636
45	0.30760833836654555
48	0.3365949948761031
51	0.3568320013420401
52	0.35839325276581313
57	0.40634015754982755
59	0.41417201823988137
61	0.41743940354023223
62	0.42688921852949413
66	0.4659842123230842
69	0.47678548516919506
70	0.4802393955732214
71	0.48035280132408786
74	0.5064287062632715
76	0.5302238417902903
79	0.5388174645770452
80	0.5472104808906888
83	0.5540170196070608
86	0.598652938729602
89	0.612215186417659
91	0.6235959890749818
93	0.6457974176211696
98	0.6740586830115838
99	0.6743363242580038
103	0.7153400161115311
106	0.7382629203563571
107	0.7524400899780623
108	0.7540023202569603
114	0.8032928520568259
115	0.8102380226975612
121	0.8325155071619292
126	0.8661190491184367
127	0.8693592505350392
131	0.9070975147984655
132	0.9136385359276034
135	0.9365735638316153
143	0.9808770965425548
146	0.9959540587278894
