	fs3
0	0.007908475004314575
1	0.007959492251975675
2	0.013571052189869093
3	0.021317849557711988
4	0.023324415530773024
5	0.025533553100114403
6	0.034795872786297366
7	0.035607276925230025
8	0.04317626262344021
9	0.048319661798341684
10	0.05089830006463636
11	0.05775791611923786
12	0.06095626949714372
13	0.06186633370211503
14	0.07545877138934731
15	0.07854083327368677
16	0.07887357372122317
17	0.08000008688016358
18	0.0891656235352265
19	0.09685952662048969
20	0.10231090631627637
21	0.10294112435629366
22	0.10638931250830375
23	0.11489124530321426
24	0.11673950806908984
25	0.12473614021103607
26	0.13056077467361593
27	0.13299161266112947
28	0.13448950355194178
29	0.14445068995333
30	0.14725290567271543
31	0.1512063944776898
32	0.15845501969169007
33	0.1627956406211446
34	0.16946694207770818
35	0.16990696848476894
36	0.1725279981052381
37	0.18660097651878615
38	0.18775037256945737
39	0.1911704263655345
40	0.19267544575546935
41	0.20071972071579403
42	0.20607956884466283
43	0.21490711358798897
44	0.2155812203765457
45	0.21961386078511325
46	0.224546062470246
47	0.22920892091883083
48	0.23860140945626895
49	0.2431727363379359
50	0.2435564940331325
51	0.24824035833852776
52	0.2579040671474333
53	0.2617588958863699
54	0.2618909417725419
55	0.27229740604519215
56	0.27704991902577447
57	0.2806091472071479
58	0.2849850309916544
59	0.28678227650986887
60	0.29935023553348294
61	0.3013586785414626
62	0.30588236260475377
63	0.30821116609694243
64	0.3159350805730572
65	0.3181370896432778
66	0.3304885997129219
67	0.3312771209601255
68	0.3344859772664375
69	0.3369239437530709
70	0.3450421188527866
71	0.3536794719631562
72	0.3555735005124898
73	0.35950410642573427
74	0.3624946367431576
75	0.37235191161430414
76	0.37341690459717736
77	0.3736052191952144
78	0.3845379899776402
79	0.3864248900278522
80	0.386910682218371
81	0.3887079277365846
82	0.3938970926949432
83	0.40026378805990426
84	0.4039126707732752
85	0.40667624920832424
86	0.40694034098067
87	0.4165106411877417
88	0.4214023285536186
89	0.4279854728725496
90	0.4298337356384234
91	0.43522884662234773
92	0.43627620817769497
93	0.4513789167190634
94	0.45370059171213306
95	0.45447335856672844
96	0.45663485331769316
97	0.46655027393561976
98	0.4738780507532141
99	0.47793357405351244
100	0.48176739693563686
101	0.48617666654027936
102	0.4933742745066194
103	0.49707605150256917
104	0.5024182682039129
105	0.5125448863116082
106	0.5130764442855877
107	0.5160388402470772
108	0.5270631425964201
109	0.5281052526875651
110	0.5328930285232012
111	0.5436885019552511
112	0.5462900231132739
113	0.5517995485558451
114	0.5528011443277325
115	0.5592717512229353
116	0.5728007916991817
117	0.5749465320575382
118	0.5766503689739171
119	0.5768386835719532
120	0.5907128444590581
121	0.5928919706375488
122	0.6017529012010101
123	0.6065706884274968
124	0.6076161729479246
125	0.6131204469262919
128	0.6224514152876628
129	0.6270384965619389
131	0.6334404547819528
133	0.6384236737147475
134	0.6384623109990866
138	0.6524613892732436
140	0.6538291113128007
141	0.6544874637087492
145	0.6695372779675388
148	0.6706656681613978
150	0.6742177678436487
152	0.6779300477680064
155	0.6868896383975054
160	0.6947437217248726
162	0.7009326054202027
164	0.7031136086336129
165	0.7035588865048741
172	0.7153840900647452
175	0.7193604617614486
179	0.7294165541590392
181	0.7325338788984315
182	0.7357446122396611
183	0.736161755754992
190	0.7522202942847915
193	0.7554344020553057
195	0.7569623043369695
197	0.7642038010518473
200	0.768764625005109
202	0.7778315015941342
204	0.7815666644102208
206	0.7853547215088854
208	0.7959423718804519
211	0.7987922304182149
212	0.8020363495795806
213	0.8077675754403231
216	0.8188323921089209
217	0.8198902565926733
218	0.8279097716263522
220	0.8341286667125303
221	0.8356970833134509
222	0.8411026972257787
227	0.8525846574097082
228	0.8602890634233766
229	0.8607185869020331
230	0.862338020750613
231	0.8694722315059664
234	0.8836648758423635
235	0.8864742200608715
236	0.8874915702253681
237	0.8928971841376967
238	0.9035906230744226
239	0.9050603796093029
240	0.9143332022238919
241	0.9208214405466224
242	0.9255739535272056
243	0.9265931807266199
244	0.9380751409105486
245	0.9412434828976046
246	0.9482403963025821
247	0.9553974899496662
248	0.9582964887001708
249	0.9683597095968803
250	0.969933377662004
251	0.9728571363391572
252	0.990385431403837
253	0.9912707356821606
254	0.9916950076966131
255	0.9957505309969097
