	fs3
0	0.007649235183881942
4	0.041471318108429855
8	0.07565497341168204
13	0.10998928387272855
17	0.14429346330221549
22	0.17877842892105456
25	0.21370029449749417
30	0.24898373245263627
35	0.28435756350245356
38	0.31968619800493414
43	0.35522574972832466
47	0.391277528988212
52	0.4277812737214788
58	0.46434528051786117
63	0.4938398195305389
64	0.5008339597353508
66	0.5244228165625344
69	0.5374883596264084
72	0.5552468618470012
74	0.5746399215381857
76	0.5863270208997182
79	0.6024132508688069
80	0.6122283834075617
83	0.6176180971733416
84	0.6274069415466812
85	0.6490296975732015
87	0.6499072383716147
89	0.6526868770243635
92	0.663891879880957
93	0.6783133193649693
94	0.6806220841624135
95	0.6847726847510813
96	0.6875559623041081
100	0.7041657444422622
101	0.705758948231658
102	0.7124253879725355
104	0.725445734489071
106	0.7269109323858078
107	0.7301236281300145
108	0.7443492159088922
109	0.7481683751504136
111	0.7561116428493229
114	0.7636820135369575
115	0.7693806213676808
116	0.7717835201430159
117	0.7765254167302853
118	0.7786081987910425
119	0.7792786652346866
120	0.7832295712520772
121	0.7910749640898871
124	0.7949278932632442
126	0.8051875095089542
127	0.8091874549398295
128	0.8094171785597286
129	0.8124679964965065
131	0.8341020771555936
132	0.8357027627114118
135	0.841762840937907
136	0.8424294645154085
137	0.8558717474566961
139	0.8623084635776728
142	0.8745604687894613
143	0.8776866143051354
144	0.881057446973557
146	0.8890949506332859
147	0.8995316121851342
149	0.9077046035039427
152	0.9161827480044842
154	0.9200921983577484
159	0.9409541968288799
160	0.9436019867228254
162	0.9597898324362273
163	0.9712020116305187
164	0.9742188556695943
169	0.9988472330855522
