	fs3
1	0.016436273749363295
2	0.027332382541013445
3	0.030213636938073662
5	0.04233005250785027
6	0.047456170738961134
7	0.06665337872501098
9	0.07861165737057085
10	0.07879992532634716
11	0.10081438476312954
12	0.10630581625615321
14	0.11005338880199034
15	0.12776285160910206
16	0.14182656158055273
18	0.1463499571975575
19	0.15988627213380013
20	0.17385584812736532
21	0.17695176062854578
23	0.18671047397032758
24	0.20606592086352826
26	0.2192594698200594
27	0.22645704547935885
28	0.2272819079640076
29	0.23847184530482224
31	0.2679738660839224
32	0.2711489490301453
33	0.27632390270887086
34	0.27873812611677096
36	0.30402190446059585
37	0.3088767414247453
39	0.3260702358121499
40	0.33692499092260775
41	0.3379154720978992
42	0.34990014089180477
44	0.3696472911952675
45	0.37391831392723596
46	0.38994428183320906
48	0.39404958389160427
49	0.40154098810006644
50	0.41369127558461116
51	0.4242785922942556
53	0.4290204888815268
54	0.4372725486624436
55	0.44746816196182415
56	0.4503080626776903
57	0.45138145518123274
59	0.4788120185321443
60	0.48037498930704814
61	0.4867854172626096
62	0.4920922197001385
65	0.5118808256677276
67	0.527733489150771
68	0.537428097563291
70	0.5427876802975149
71	0.5461096775183183
73	0.5705346194797905
75	0.580941150000081
77	0.5956224441355502
78	0.5988803364270936
81	0.6143300738502422
82	0.6162848500183404
86	0.6493310078887902
88	0.6520654499942005
90	0.6587432143676448
91	0.6621404371844122
97	0.6881322947698649
98	0.7034764715996271
99	0.7035781893268691
103	0.7244401877980007
105	0.7267714998776498
110	0.7488199332121361
112	0.7582094904258572
113	0.7611397842363985
122	0.7923968866123232
123	0.7946191011812349
125	0.7982612151166162
130	0.8137861781357305
133	0.8357291528597592
134	0.8409756932341708
138	0.8586248939781651
140	0.8701914692134629
141	0.8734230733395911
145	0.8877239886973669
151	0.9113429765561119
155	0.9253952599120634
157	0.9271541843750324
158	0.934758528960371
161	0.9496093866355579
165	0.9821998381494161
166	0.9845086029468622
167	0.988282565641045
168	0.992918901634928
