	fs3
0	0.11552339327377137
1	0.11583093500096275
2	0.11583093500096275
3	0.11613847672815414
4	0.11644601845534552
5	0.11675356018253691
6	0.1170611019097283
7	0.1170611019097283
8	0.11736864363691879
9	0.11767618536411018
10	0.11798372709130156
11	0.11798372709130156
12	0.11829126881849295
13	0.11859881054568433
14	0.11890635227287571
15	0.11890635227287571
16	0.1192138940000671
17	0.1195214357272576
18	0.1195214357272576
19	0.11982897745444898
20	0.11982897745444898
21	0.12013651918164037
22	0.12044406090883264
23	0.12075160263602402
24	0.12105914436321452
25	0.12105914436321452
26	0.1213666860904059
27	0.12167422781759729
28	0.12198176954478868
29	0.12198176954478868
30	0.12228931127198006
31	0.12259685299917145
32	0.12290439472636283
33	0.12290439472636283
34	0.12321193645355333
35	0.16368174761674537
36	0.16368174761674537
37	0.16368174761674537
38	0.16398928934393675
39	0.16398928934393675
40	0.1642968310711277
41	0.1642968310711277
42	0.16460437279831908
43	0.16460437279831908
44	0.16491191452551046
45	0.16491191452551046
46	0.1652194562527014
47	0.1652194562527014
48	0.16552699797989368
49	0.16552699797989368
50	0.16583453970708462
51	0.16583453970708462
52	0.16583453970708462
53	0.166142081434276
54	0.166142081434276
55	0.16644962316146739
56	0.16644962316146739
57	0.16675716488865833
58	0.16675716488865833
59	0.16675716488865833
60	0.1670647066158497
61	0.1670647066158497
62	0.1673722483430411
63	0.1673722483430411
64	0.16767979007023204
65	0.16767979007023204
66	0.16798733179742342
67	0.16798733179742342
68	0.1682948735246148
69	0.1682948735246148
70	0.1686024152518062
71	0.23005461261498716
72	0.23036215434217855
73	0.23097723779656132
74	0.2312847795237527
75	0.2315923212509441
76	0.23189986297813547
77	0.23220740470532597
78	0.23282248815970874
79	0.23313002988690013
80	0.2334375716140915
81	0.2337451133412829
82	0.23436019679566478
83	0.23466773852285616
84	0.23497528025004755
85	0.23528282197723893
86	0.23528282197723893
87	0.23559036370443032
88	0.2362054471588122
89	0.23651298888600447
90	0.23682053061319586
91	0.23712807234038724
92	0.23743561406757863
93	0.2380506975219605
94	0.2383582392491519
95	0.23866578097634328
96	0.23897332270353466
97	0.23928086443072605
98	0.23989594788510793
99	0.24020348961229931
100	0.2405110313394907
101	0.24081857306668208
111	0.36130538137468404
112	0.361612923101875
113	0.361612923101875
