	fs3
1606	0.12573805779415714
1617	0.1265886932714655
1618	0.1265886932714655
1619	0.1265886932714655
1633	0.12743932874877428
1634	0.12743932874877428
1635	0.12743932874877428
1636	0.12743932874877428
1646	0.12828996422608263
1651	0.12828996422608263
1652	0.12828996422608263
1663	0.12914059970339142
1664	0.12914059970339142
1944	0.17287033036102661
1945	0.17287033036102661
1946	0.17287033036102661
1983	0.17882477870218683
1984	0.17882477870218683
1991	0.17967541417949562
1992	0.17967541417949562
1993	0.17967541417949562
1999	0.18052604965680397
2000	0.18052604965680397
2001	0.18052604965680397
2002	0.18052604965680397
2008	0.18137668513411276
2009	0.18137668513411276
2010	0.18137668513411276
3359	0.3924902763541558
3364	0.39334091183146436
3366	0.39334091183146436
3367	0.39334091183146436
3368	0.39334091183146436
3374	0.3941915473087727
