	fs3
0	0.16143460850693092
1	0.16187999135152964
2	0.16210268277382855
3	0.16254806561842727
4	0.1627707570407262
5	0.1632161398853249
6	0.1634388313076247
7	0.16388421415222254
8	0.16432959699682215
9	0.16455228841912106
10	0.16499767126371978
11	0.1652203626860187
12	0.16566574553061741
13	0.16588843695291722
14	0.16633381979751505
15	0.16655651121981485
16	0.16700189406441357
17	0.16722458548671248
18	0.16722458548671248
19	0.1676699683313112
20	0.16789265975361012
21	0.16833804259820884
22	0.16878342544280756
23	0.16900611686510736
24	0.16945149970970608
25	0.169674191132005
26	0.1701195739766037
27	0.17034226539890263
28	0.17078764824350134
29	0.17101033966580026
30	0.17145572251039898
31	0.17167841393269878
32	0.1721237967772966
33	0.17234648819959641
34	0.20274803550846432
35	0.20297072693076368
36	0.20319341835306304
37	0.2034161097753624
38	0.2036388011976622
39	0.2036388011976622
40	0.20386149261996156
41	0.20408418404226047
42	0.20430687546455983
43	0.2045295668868592
44	0.20475225830915855
45	0.2049749497314579
46	0.20519764115375683
47	0.20542033257605619
48	0.20564302399835555
49	0.20564302399835555
50	0.2058657154206549
51	0.20608840684295426
52	0.20631109826525318
53	0.20631109826525318
54	0.20653378968755254
55	0.2067564811098519
56	0.20697917253215126
57	0.20720186395445062
58	0.20742455537674953
59	0.2076472467990489
60	0.20786993822134825
61	0.20809262964364805
62	0.2083153210659474
63	0.20853801248824677
64	0.2087607039105457
65	0.2321349669219428
66	0.23258034976654063
67	0.23302573261113935
68	0.23369380687803787
69	0.2341391897226366
70	0.23480726398953333
71	0.23525264683413294
72	0.23592072110103057
73	0.2363661039456293
74	0.236811486790228
75	0.23747956105712564
76	0.23792494390172436
77	0.238593018168622
78	0.2390384010132207
79	0.23948378385781854
80	0.24015185812471707
81	0.24059724096931578
82	0.2410426238139145
83	0.2412653152362143
84	0.24171069808081214
85	0.24237877234770977
86	0.2428241551923085
87	0.2432695380369072
88	0.24393761230380484
89	0.24438299514840356
90	0.24505106941530208
91	0.2454964522599008
92	0.24594183510449952
93	0.24660990937139626
94	0.24705529221599498
95	0.2477233664828935
96	0.24816874932749222
97	0.24883682359438986
98	0.24928220643898857
99	0.2497275892835873
100	0.2503956635504849
101	0.25084104639508276
107	0.4422568283563715
108	0.4422568283563715
109	0.4424795197786704
110	0.4424795197786704
111	0.44270221120096975
112	0.44270221120096975
113	0.4429249026232691
114	0.44314759404556847
115	0.44314759404556847
116	0.44337028546786783
117	0.44337028546786783
118	0.44337028546786783
119	0.44359297689016675
120	0.44359297689016675
121	0.4438156683124661
122	0.4438156683124661
123	0.44403835973476546
124	0.4442610511570648
125	0.4442610511570648
126	0.4444837425793642
127	0.4444837425793642
128	0.444706434001664
129	0.444706434001664
