	fs3
2	0.007800006590432673
4	0.03026695272385105
5	0.04004290359627838
6	0.0476315363072235
7	0.05296071035900418
8	0.06306611107766003
12	0.08766367249712559
13	0.08897973823154182
14	0.09608816551270571
16	0.11133719403459175
18	0.12806358722106737
19	0.1293776952452319
20	0.13840694424552247
22	0.16296813468742855
24	0.16880899087092516
25	0.1705272484066871
27	0.18820192879354103
28	0.1968706286433548
30	0.20969927697358415
32	0.23030797739406061
33	0.23101830828863967
34	0.23845385030809396
36	0.25053383905593485
38	0.26534430479891213
40	0.2892407224176132
41	0.2905679329560886
42	0.29136840113828555
44	0.2998263285660503
46	0.3323144112612546
47	0.3345423932184861
49	0.3404510970814769
50	0.3514519975455759
53	0.36959280199277345
54	0.373371869424842
55	0.3919400918468874
56	0.4049886996929768
58	0.41313848802751174
60	0.41442932758842765
63	0.4406632174947269
64	0.4438414443625813
65	0.45547564094795234
67	0.47550481155721513
68	0.4765494865736475
72	0.496522933162602
73	0.4967894296049593
75	0.5126809413419284
77	0.5382277688168955
78	0.5387050376813018
81	0.5490798714076917
82	0.5500737166794405
84	0.5813562028257238
85	0.5857574215749999
87	0.60127392539437
88	0.6041371611831199
90	0.6226467230194821
92	0.6245534633691712
94	0.6582674745111721
95	0.6597477757411365
96	0.6649999150196102
97	0.6681073576425955
100	0.6971608829765223
101	0.7121070440784916
102	0.7124200774473461
104	0.7297066474022866
105	0.7349529135500088
109	0.7568645771905871
110	0.7668513004850652
111	0.7729678402047302
112	0.7947588687108791
113	0.801588675890498
116	0.8104255266563616
117	0.8164122441477879
118	0.8216047439854499
119	0.8301092083397119
120	0.8308539525015988
122	0.8407534750738321
123	0.8513167916141473
124	0.8517950393336786
125	0.8651828855772479
128	0.88121927976702
129	0.8896316491234106
130	0.8976011628827063
133	0.9285938841233836
134	0.9295887082502574
136	0.9380354908739594
137	0.9444873535706027
142	0.9680799249142602
144	0.9918750604412772
145	0.9952974941433688
147	0.996412953404672
