	amp_norm
241	0.010640449253079177
243	0.014909306101751611
244	0.024905200187691708
246	0.07493004953709638
248	0.012183885601457134
249	0.9901444956497699
250	0.07290205890277417
251	0.016708561697650236
252	0.024745134355993726
255	0.014903227154123573
256	0.012011363211155106
257	0.02669166535261964
258	0.010676135094205964
260	0.017157445536582164
261	0.0661651611007938
263	0.029915630165526664
264	0.9902293518801949
266	0.1334058322255962
267	0.11541508284762922
268	0.973398152217506
270	0.03386192689839144
271	0.060740550622516945
273	0.024347061618975145
274	0.019342945474216642
276	0.015221338865458433
278	0.013552073930206264
279	0.011077648709045672
281	0.010448954123364312
285	0.014601323240585303
286	0.02766109947953188
287	0.23181271058223737
288	0.9152848490660047
289	0.03541321521560762
291	0.01660847950414969
292	0.010856344844486564
