	amp_norm
0	0.0730076893649106
1	0.09687533970703278
3	0.061976239907718195
9	0.06444399076830985
10	0.07698530875361477
11	0.0931569382140384
15	0.10554699524969574
17	0.07031487693249672
21	0.08580133353877381
23	0.10649255927422585
26	0.079147987339124
29	0.12776916886940382
31	0.10094874611268843
35	0.09133511773711395
37	0.13648932875864533
39	0.129242215194187
43	0.11216107792017736
45	0.18143908352222443
48	0.208418290300267
51	0.1539747557054425
52	0.1918815403867297
57	0.34853048015379423
59	0.24707627345912606
61	0.4083993437884385
62	0.35755907995138936
66	0.4555241500054426
69	0.6495817141102478
70	0.6100586178661231
71	0.6671496991357359
74	0.5438453416536804
76	0.42574018535152136
79	0.384855684629146
80	0.43078818343497893
83	0.3230734750347595
86	0.22434714464878355
89	0.1903372718180838
91	0.20216168560460876
93	0.21209693623594983
98	0.1453328581075388
99	0.133955017363301
103	0.13626595190983656
106	0.10673046478415428
107	0.11194527794551304
108	0.14154754947125497
114	0.09179633515348061
115	0.10914633122713623
121	0.09737029959892994
126	0.1145595292215967
127	0.08332505892405671
131	0.09910061609827077
132	0.090529921883721
135	0.07949672530894651
143	0.10707800844941615
146	0.0878329566158022
