	fs3
0	0.1503982692019168
1	0.15078017840543279
2	0.1511620876089479
3	0.151543996812463
4	0.1519259060159781
5	0.15230781521949321
6	0.15288067902476588
7	0.15326258822828098
8	0.1536444974317961
9	0.1540264066353112
10	0.1544083158388272
11	0.1547902250423423
12	0.1551721342458574
13	0.15555404344937251
14	0.1559359526528885
15	0.15650881645816028
16	0.1568907256616754
17	0.1572726348651905
18	0.1572726348651905
19	0.1576545440687065
20	0.1580364532722225
21	0.1584183624757376
22	0.1588002716792527
23	0.1591821808827678
24	0.15975504468804047
25	0.16013695389155558
26	0.16051886309507069
27	0.1609007722985858
28	0.1612826815021009
29	0.161664590705616
30	0.162046499909132
31	0.1624284091126471
32	0.16300127291791977
33	0.16338318212143488
34	0.16376509132494999
35	0.1641470005284651
36	0.1645289097319802
37	0.17353302541925597
38	0.17410588922452863
39	0.17467875302980218
40	0.1754425714368324
41	0.17601543524210506
42	0.1765882990473786
43	0.17735211745440882
44	0.17792498125968148
45	0.17849784506495414
46	0.1790707088702277
47	0.1798345272772579
48	0.18040739108253057
49	0.18098025488780323
50	0.18174407329483433
51	0.182316937100107
52	0.18288980090537965
53	0.1834626647106523
54	0.18422648311768342
55	0.1847993469229552
56	0.1851812561264703
57	0.1855631653299863
58	0.18613602913525895
59	0.1867088929405325
60	0.18728175674580516
61	0.18804557515283538
62	0.18861843895810804
63	0.1891913027633807
64	0.18976416656865425
65	0.19052798497568446
66	0.191100848780958
67	0.19167371258622978
68	0.19243753099326
69	0.19301039479853355
70	0.1935832586038071
71	0.19415612240907887
72	0.19491994081610997
73	0.19549280462138263
74	0.1960656684266553
75	0.1968294868336855
76	0.19925339784720109
77	0.19944435244895864
78	0.1996353070507162
79	0.2000172162542313
80	0.20020817085598885
81	0.20039912545774685
82	0.20078103466126196
83	0.2009719892630195
84	0.20116294386477707
85	0.20135389846653506
86	0.20173580767005017
87	0.20192676227180772
88	0.20211771687356528
89	0.20230867147532328
90	0.20269058067883838
91	0.20288153528059594
92	0.2030724898823535
93	0.20326344448411104
94	0.2034543990858686
95	0.20364535368762615
96	0.2038363082893837
97	0.20402726289114126
98	0.2044091720946568
99	0.20460012669641436
100	0.20479108129817192
101	0.20498203589992947
102	0.20536394510344502
103	0.20555489970520258
104	0.20574585430696013
105	0.20593680890871813
106	0.20631871811223323
107	0.2065096727139908
108	0.20670062731574834
109	0.20708253651926345
