	fs3
0	0.000191328467384011
1	0.000191328467384011
2	0.000191328467384011
3	0.000191328467384011
4	0.000191328467384011
5	0.000694642629794906
6	0.000694642629794906
7	0.000694642629794906
8	0.000694642629794906
9	0.000694642629794906
10	0.001041963944692359
11	0.001041963944692359
12	0.001041963944692359
13	0.001041963944692359
14	0.001041963944692359
15	0.001545278107103698
16	0.001545278107103698
17	0.001545278107103698
18	0.001545278107103698
19	0.001545278107103698
20	0.001545278107103698
21	0.001892599422000707
22	0.001892599422000707
23	0.001892599422000707
24	0.001892599422000707
25	0.001892599422000707
26	0.002395913584412046
27	0.002395913584412046
28	0.002395913584412046
29	0.002395913584412046
30	0.002395913584412046
31	0.002743234899309499
32	0.002743234899309499
33	0.002743234899309499
34	0.002743234899309499
35	0.002743234899309499
36	0.003246549061720394
37	0.003246549061720394
38	0.003246549061720394
39	0.003246549061720394
40	0.003246549061720394
41	0.003593870376618291
42	0.003593870376618291
43	0.003593870376618291
44	0.003593870376618291
45	0.003593870376618291
46	0.004097184539029186
47	0.004097184539029186
48	0.004097184539029186
49	0.004097184539029186
50	0.004097184539029186
51	0.004444505853926639
52	0.004444505853926639
53	0.004444505853926639
54	0.004444505853926639
55	0.004444505853926639
56	0.004947820016337978
57	0.004947820016337978
58	0.004947820016337978
59	0.004947820016337978
60	0.004947820016337978
61	0.004947820016337978
62	0.005295141331235431
63	0.005295141331235431
64	0.005295141331235431
65	0.005295141331235431
66	0.005295141331235431
67	0.005798455493646326
68	0.005798455493646326
69	0.005798455493646326
70	0.005798455493646326
71	0.005798455493646326
72	0.006145776808543779
73	0.006145776808543779
74	0.006145776808543779
75	0.006145776808543779
76	0.006145776808543779
77	0.006649090970955118
78	0.006649090970955118
79	0.006649090970955118
80	0.006649090970955118
81	0.006649090970955118
82	0.006996412285852127
83	0.006996412285852127
84	0.006996412285852127
85	0.006996412285852127
86	0.006996412285852127
87	0.007499726448263466
88	0.007499726448263466
89	0.007499726448263466
90	0.007499726448263466
91	0.007499726448263466
92	0.007847047763161363
93	0.007847047763161363
94	0.007847047763161363
95	0.007847047763161363
96	0.007847047763161363
97	0.008350361925572258
98	0.008350361925572258
99	0.008350361925572258
100	0.008350361925572258
101	0.008350361925572258
102	0.008350361925572258
103	0.008697683240469711
104	0.008697683240469711
105	0.008697683240469711
106	0.008697683240469711
107	0.008697683240469711
108	0.009200997402880606
109	0.009200997402880606
110	0.009200997402880606
111	0.009200997402880606
112	0.009200997402880606
113	0.00954831871777806
114	0.00954831871777806
115	0.00954831871777806
116	0.00954831871777806
117	0.00954831871777806
118	0.010051632880189398
119	0.010051632880189398
120	0.010051632880189398
121	0.010051632880189398
122	0.010051632880189398
123	0.010398954195086851
124	0.010398954195086851
125	0.010398954195086851
126	0.010398954195086851
127	0.010398954195086851
128	0.010902268357497746
129	0.010902268357497746
130	0.010902268357497746
131	0.010902268357497746
132	0.010902268357497746
133	0.010902268357497746
134	0.010902268357497746
135	0.010902268357497746
136	0.010902268357497746
137	0.010902268357497746
138	0.010902268357497746
139	0.010902268357497746
140	0.010902268357497746
141	0.010902268357497746
142	0.010902268357497746
143	0.010902268357497746
144	0.010902268357497746
145	0.010902268357497746
146	0.010902268357497746
147	0.010902268357497746
148	0.010902268357497746
149	0.010902268357497746
150	0.010902268357497746
151	0.010902268357497746
152	0.010902268357497746
153	0.010902268357497746
154	0.010902268357497746
155	0.010902268357497746
156	0.010902268357497746
157	0.010902268357497746
158	0.010902268357497746
159	0.010902268357497746
160	0.010902268357497746
161	0.010902268357497746
162	0.010902268357497746
163	0.010902268357497746
164	0.010902268357497746
165	0.010902268357497746
166	0.010902268357497746
167	0.010902268357497746
168	0.010902268357497746
169	0.010902268357497746
170	0.010902268357497746
171	0.010902268357497746
172	0.010902268357497746
173	0.010902268357497746
174	0.010902268357497746
175	0.010902268357497746
176	0.010902268357497746
177	0.010902268357497746
178	0.010902268357497746
179	0.010902268357497746
180	0.010902268357497746
181	0.010902268357497746
182	0.010902268357497746
183	0.010902268357497746
184	0.010902268357497746
185	0.010902268357497746
186	0.010902268357497746
187	0.010902268357497746
188	0.010902268357497746
189	0.010902268357497746
190	0.010902268357497746
191	0.010902268357497746
192	0.010902268357497746
193	0.010902268357497746
194	0.010902268357497746
195	0.010902268357497746
196	0.010902268357497746
197	0.010902268357497746
198	0.010902268357497746
199	0.010902268357497746
200	0.010902268357497746
201	0.010902268357497746
202	0.010902268357497746
203	0.010902268357497746
204	0.010902268357497746
205	0.010902268357497746
206	0.010902268357497746
207	0.010902268357497746
208	0.010902268357497746
209	0.010902268357497746
210	0.010902268357497746
211	0.010902268357497746
212	0.010902268357497746
213	0.010902268357497746
214	0.010902268357497746
215	0.010902268357497746
216	0.010902268357497746
217	0.010902268357497746
218	0.010902268357497746
219	0.010902268357497746
220	0.010902268357497746
221	0.010902268357497746
222	0.010902268357497746
223	0.010902268357497746
224	0.0112495896723952
225	0.0112495896723952
226	0.0112495896723952
227	0.0112495896723952
228	0.0112495896723952
229	0.0112495896723952
230	0.011752903834806538
231	0.011752903834806538
232	0.011752903834806538
233	0.011752903834806538
234	0.011752903834806538
235	0.012100225149703991
236	0.012100225149703991
237	0.012100225149703991
238	0.012100225149703991
239	0.012100225149703991
240	0.01260353931211533
241	0.01260353931211533
242	0.01260353931211533
243	0.01260353931211533
244	0.01260353931211533
245	0.01260353931211533
246	0.012950860627012784
247	0.012950860627012784
248	0.012950860627012784
249	0.012950860627012784
250	0.012950860627012784
251	0.013454174789423679
252	0.013454174789423679
253	0.013454174789423679
254	0.013454174789423679
255	0.013454174789423679
256	0.013801496104321131
257	0.013801496104321131
258	0.013801496104321131
259	0.013801496104321131
260	0.013801496104321131
261	0.01430481026673247
262	0.01430481026673247
263	0.01430481026673247
264	0.01430481026673247
265	0.01430481026673247
266	0.01465213158162948
267	0.01465213158162948
268	0.01465213158162948
269	0.01465213158162948
270	0.01465213158162948
271	0.015155445744040819
272	0.015155445744040819
273	0.015155445744040819
274	0.015155445744040819
275	0.015155445744040819
276	0.015502767058938272
277	0.015502767058938272
278	0.015502767058938272
279	0.015502767058938272
280	0.015502767058938272
281	0.016006081221349167
282	0.016006081221349167
283	0.016006081221349167
284	0.016006081221349167
285	0.016006081221349167
286	0.016006081221349167
287	0.016353402536247064
288	0.016353402536247064
289	0.016353402536247064
290	0.016353402536247064
291	0.016353402536247064
292	0.01685671669865796
293	0.01685671669865796
294	0.01685671669865796
295	0.01685671669865796
296	0.01685671669865796
297	0.01720403801355541
298	0.01720403801355541
299	0.01720403801355541
300	0.01720403801355541
301	0.01720403801355541
302	0.01770735217596675
303	0.01770735217596675
304	0.01770735217596675
305	0.01770735217596675
306	0.01770735217596675
307	0.018054673490864204
308	0.018054673490864204
309	0.018054673490864204
310	0.018054673490864204
311	0.018054673490864204
312	0.0185579876532751
313	0.0185579876532751
314	0.0185579876532751
315	0.0185579876532751
316	0.0185579876532751
317	0.01890530896817255
318	0.01890530896817255
319	0.01890530896817255
320	0.01890530896817255
321	0.01890530896817255
322	0.01940862313058389
323	0.01940862313058389
324	0.01940862313058389
325	0.01940862313058389
326	0.01940862313058389
327	0.0197559444454809
328	0.0197559444454809
329	0.0197559444454809
330	0.0197559444454809
331	0.0197559444454809
332	0.02025925860789224
333	0.02025925860789224
334	0.02025925860789224
335	0.02025925860789224
336	0.02025925860789224
337	0.02025925860789224
338	0.020606579922790136
339	0.020606579922790136
340	0.020606579922790136
341	0.020606579922790136
342	0.020606579922790136
343	0.02110989408520103
344	0.02110989408520103
345	0.02110989408520103
346	0.02110989408520103
347	0.02110989408520103
348	0.021457215400098484
349	0.021457215400098484
350	0.021457215400098484
351	0.021457215400098484
352	0.021457215400098484
353	0.02196052956250938
354	0.02196052956250938
355	0.02196052956250938
356	0.02196052956250938
357	0.02196052956250938
358	0.022307850877406832
