	fs3
2	0.03034338985236751
4	0.037956532768639306
10	0.07573789525701535
11	0.10191557802612294
15	0.16069273973013587
17	0.19486227159741532
21	0.2603320893508698
24	0.2938789938830553
25	0.31625346682430333
27	0.3523475205631552
31	0.4257579809828158
33	0.43899641227576325
35	0.49629514318974977
36	0.4965350273407303
41	0.5364511556334595
42	0.5503230049830936
43	0.5859237982106436
44	0.6092767029406545
45	0.6158844753377153
50	0.6904903347394722
52	0.7217515404297377
54	0.7391381952826208
58	0.8198140833987271
62	0.8845615472114918
63	0.8906773946117195
64	0.8946409774548556
