	amp_norm
1	0.033192441206439445
2	0.043442501960597305
3	0.058822294181509506
5	0.07061999564238051
6	0.03487949626387354
7	0.04598057623612635
9	0.03677206499349242
10	0.06345410528202665
11	0.07698727924812704
12	0.04934133181369519
14	0.038879763639729815
15	0.07123612715294135
16	0.04179056770549784
18	0.05431082159706065
19	0.08803580285661503
20	0.04600356057239014
21	0.0820653508784551
23	0.0617081684638773
24	0.051407569916118785
26	0.10757390971974705
27	0.09902240348495145
28	0.07303030306432509
29	0.05858498129401101
31	0.08963607033266872
32	0.06943353970302238
33	0.12909861182613747
34	0.142084921982852
36	0.08630602219330248
37	0.11517882379115599
39	0.1876149306544737
40	0.1138086970575231
41	0.2120910556498758
42	0.1631857604717406
44	0.1644568762033032
45	0.32676090291182486
46	0.27738316509464606
48	0.3897325682783431
49	0.2781110506691763
50	0.5763173483502846
51	0.5236070896423974
53	0.5278675424200414
54	0.611021124566177
55	0.48932991781478585
56	0.5093994519763843
57	0.5113857794260975
59	0.26624557071832333
60	0.4033326296902257
61	0.2785908839031102
62	0.26185734057521215
65	0.16180289873126913
67	0.170649947404952
68	0.22144715781480834
70	0.16232734655593692
71	0.11588464660941428
73	0.12141139377949992
75	0.09055538858552564
77	0.11867164619525732
78	0.14810944297593465
81	0.0948891196022735
82	0.07476731263756735
86	0.09613037328388088
88	0.06484038735114478
90	0.07963432715207762
91	0.1124366197017878
97	0.058062399708222204
98	0.08292028502898927
99	0.07025736518903065
103	0.053160054184511356
105	0.09281834813697708
110	0.06381830384505927
112	0.07428480509815778
113	0.0495592297386479
122	0.08200490079316038
123	0.059401729970444184
125	0.04691715371091969
130	0.06827264053273598
133	0.045465203838861955
134	0.05701170968554872
138	0.07681780898735889
140	0.06496894540652001
141	0.04499718512573225
145	0.05634508544756982
151	0.045076350024979533
155	0.0748072439254984
157	0.06414074547739824
158	0.055424603559158986
161	0.040729919926550284
165	0.056602235328945254
166	0.06652457354588949
167	0.041530917596866605
168	0.07523503370233724
