	amp_norm
0	0.010658100793288324
1	0.01132585160593819
2	0.012027396864632835
3	0.013019571389966506
4	0.014177818986239573
5	0.015427655808494319
6	0.0170975511687998
7	0.018711274195143242
8	0.020846575207781954
9	0.02426527862719618
10	0.02838712021946358
11	0.03374873586257617
12	0.042038211381937224
13	0.05623820105092524
14	0.08521727430145279
15	0.16673424858838443
16	0.7044730149721362
17	0.6641879807068137
18	0.15900234526391824
19	0.08248030712460344
20	0.0556046780704186
21	0.042053616819895924
22	0.03346148491752463
23	0.02791349273859436
24	0.024214281650805507
25	0.021048320744472784
26	0.018615401251285826
27	0.016990777406477506
28	0.015505891243808696
29	0.014073425168664635
30	0.013091909519244748
31	0.012118571535316754
32	0.01128261710204131
33	0.010627289960395256
34	0.01019913308196507
35	0.011009869539963527
36	0.012039410715004133
37	0.013074795048627892
38	0.01428079010085799
39	0.015849145653117853
40	0.01774290313587537
41	0.02009882094427288
42	0.02310649446252707
43	0.027242396995414378
44	0.042437678358777535
45	0.03292971837791624
46	0.09814102733437695
47	0.05943172278242063
48	0.2595799274800463
49	0.8002946086021698
50	0.2609746066137139
51	0.09965864703857198
52	0.059747973356872916
53	0.04286341379461668
54	0.0335387908741383
55	0.02734675932493761
56	0.023159337994602947
57	0.020103117823517945
58	0.017542364285278274
59	0.015718455058660763
60	0.014290876692751807
61	0.01303061766707225
62	0.012124574820004019
63	0.01118026015138985
64	0.010305607777751925
65	0.010146567314230037
66	0.010793999197365477
67	0.011515275401331718
68	0.012442063872790857
69	0.013458862123483377
70	0.014636811110262283
71	0.01606463327018996
72	0.01774299985656639
73	0.019972209727814532
74	0.022579019398633084
75	0.02575277710202712
76	0.03076207810828352
77	0.03788935781986926
78	0.04857613084058739
79	0.06808158040551122
80	0.1143505366533449
81	0.31369929147446324
82	0.8300491640658972
83	0.25474263233112726
84	0.10407604634511172
85	0.06467082352757356
86	0.04697143248918796
87	0.03674161737998548
88	0.02995532255066756
89	0.025542520426635025
90	0.022293897224262543
91	0.019403683154462635
92	0.01750143562950606
93	0.015838100342082134
94	0.014386871064858179
95	0.013345959431590589
96	0.012384974916558576
97	0.011488314103089944
98	0.01071826504458723
99	0.01013887514961484
108	0.01077593407430783
109	0.011725912055050086
110	0.013127543881800652
111	0.014835804497585484
112	0.016731780832446957
113	0.019214369585587643
114	0.02290508554808284
115	0.028224916479688077
116	0.037260028165544225
117	0.05283242227592442
118	0.7515275189541536
119	0.3581759606149234
120	0.15916871066520036
121	0.0922486105284414
122	0.06835872499073038
123	0.04426057804508581
124	0.021167503121098753
125	0.025426320990857815
126	0.032905386483603485
127	0.015559595735412575
128	0.018040142692080145
129	0.013745277786385603
130	0.012453884732842794
131	0.01125168769113816
132	0.010201684878558104
