	fs3
2208	0.17464941868626527
2209	0.17539212682106253
2210	0.17539212682106253
2211	0.17539212682106253
2217	0.1761348349558598
2218	0.1761348349558598
2219	0.1761348349558598
2224	0.1761348349558598
2226	0.1768775430906575
2227	0.1768775430906575
2228	0.1768775430906575
2240	0.17762025122545433
2474	0.2263241375591316
2475	0.2263241375591316
2476	0.2263241375591316
2477	0.22706684569392888
2478	0.22706684569392888
4101	0.4475381547197852
4102	0.4475381547197852
4107	0.4475381547197852
4113	0.44828086285458246
4115	0.44828086285458246
